Player,PPG,APG,RPG,SPG,BPG,G
Trey Burke 19 20,5.9,2.1,1.4,0.3,0,25
Trey Burke 19 20,12,3.8,1.9,1.1,0.1,8
Alec Burks 19 20,15,2.9,4.3,0.9,0.3,66
Alec Burks 19 20,16.1,3.1,4.7,1,0.4,48
Alec Burks 19 20,12.2,2.1,3.1,0.7,0,18
Deonte Burton 19 20,2.7,0.4,1.5,0.2,0.3,39
Jimmy Butler 19 20,19.9,6,6.7,1.8,0.6,58
Bruno Caboclo 19 20,3,0.4,2,0.5,0.6,30
Bruno Caboclo 19 20,2.8,0.5,2,0.5,0.5,22
Bruno Caboclo 19 20,3.5,0.3,2,0.6,0.6,8
Devontae Cacok 19 20,6,1,5,0,0,1
Kentavious Caldwell-Pope 19 20,9.3,1.6,2.1,0.8,0.2,69
Vlatko Čančar 19 20,1.2,0.2,0.7,0.1,0.1,14
Clint Capela 19 20,13.9,1.2,13.8,0.8,1.8,39
DeMarre Carroll 19 20,3.6,1,2.3,0.3,0.2,24
DeMarre Carroll 19 20,2.2,0.7,2.1,0.1,0.1,15
DeMarre Carroll 19 20,6,1.6,2.7,0.7,0.3,9
Jevon Carter 19 20,4.9,1.4,2,0.8,0.3,58
Vince Carter 19 20,5,0.8,2.1,0.4,0.4,60
Wendell Carter Jr. 19 20,11.3,1.2,9.4,0.8,0.8,43
Michael Carter-Williams 19 20,7.2,2.4,3.3,1.1,0.5,45
Alex Caruso 19 20,5.5,1.9,1.9,1.1,0.3,64
Willie Cauley-Stein 19 20,7.2,1.3,5.8,0.9,1.1,54
Willie Cauley-Stein 19 20,7.9,1.5,6.2,1.1,1.2,41
Willie Cauley-Stein 19 20,5.2,0.8,4.6,0.3,0.8,13
Tyson Chandler 19 20,1.3,0.2,2.5,0.2,0.3,26
Wilson Chandler 19 20,5.9,1.1,4.1,0.5,0.3,35
Joe Chealey 19 20,0.5,0.3,0,1,0,4
Zylan Cheatham 19 20,3,0.8,2.3,0.3,0.3,4
Chris Chiozza 19 20,5.1,3,1.9,0.8,0.1,28
Chris Chiozza 19 20,2.7,2.8,1.5,1,0.2,10
Chris Chiozza 19 20,6.4,3.1,2.1,0.6,0.1,18
Marquese Chriss 19 20,9.3,1.9,6.2,0.7,1.1,59
Gary Clark 19 20,3.7,0.4,2.6,0.1,0.5,42
Gary Clark 19 20,3.9,0.7,2.2,0.1,0.4,18
Gary Clark 19 20,3.6,0.2,2.9,0.2,0.6,24
Brandon Clarke 19 20,12.1,1.4,5.9,0.6,0.8,58
Jordan Clarkson 19 20,15.2,1.9,2.6,0.6,0.2,71
Jordan Clarkson 19 20,14.6,2.4,2.4,0.6,0.3,29
Jordan Clarkson 19 20,15.6,1.6,2.8,0.7,0.2,42
Nicolas Claxton 19 20,4.4,1.1,2.9,0.1,0.5,15
Chris Clemons 19 20,4.9,0.8,0.9,0.3,0.2,33
Antonius Cleveland 19 20,1,0.1,0.6,0.1,0.3,11
Amir Coffey 19 20,3.2,0.8,0.9,0.3,0.1,18
John Collins 19 20,21.6,1.5,10.1,0.8,1.6,41
Zach Collins 19 20,7,1.5,6.3,0.5,0.5,11
Mike Conley 19 20,14.4,4.4,3.2,0.8,0.1,47
Pat Connaughton 19 20,5.4,1.6,4.2,0.4,0.5,67
Quinn Cook 19 20,5.1,1.1,1.2,0.3,0,44
Tyler Cook 19 20,1.8,0.1,1.1,0.2,0,13
Tyler Cook 19 20,1.7,0.1,0.9,0.1,0,11
Tyler Cook 19 20,2,0,2,1,0,2
Robert Covington 19 20,12.4,1.3,6.6,1.6,1.3,70
Robert Covington 19 20,12.8,1.2,6,1.7,0.9,48
Robert Covington 19 20,11.6,1.5,8,1.6,2.2,22
Allen Crabbe 19 20,4.6,0.9,2.1,0.4,0.1,37
Allen Crabbe 19 20,5.1,1,2.3,0.5,0.1,28
Allen Crabbe 19 20,3.2,0.6,1.3,0,0,9
Torrey Craig 19 20,5.4,0.8,3.3,0.4,0.6,58
Jamal Crawford 19 20,5,3,0,0,0,1
Jae Crowder 19 20,10.5,2.5,5.9,1.1,0.4,65
Jae Crowder 19 20,9.9,2.8,6.2,1,0.3,45
Jae Crowder 19 20,11.9,1.8,5.4,1.3,0.5,20
Jarrett Culver 19 20,9.2,1.7,3.4,0.9,0.6,63
Seth Curry 19 20,12.4,1.9,2.3,0.6,0.1,64
Stephen Curry 19 20,20.8,6.6,5.2,1,0.4,5
Troy Daniels 19 20,4.3,0.4,1.1,0.2,0.1,47
Troy Daniels 19 20,4.2,0.3,1.1,0.2,0.1,41
Troy Daniels 19 20,4.3,0.5,1,0.5,0,6
Anthony Davis 19 20,26.1,3.2,9.3,1.5,2.3,62
Ed Davis 19 20,1.8,0.4,3.8,0.4,0.3,28
Terence Davis 19 20,7.5,1.6,3.3,0.5,0.2,72
Dewayne Dedmon 19 20,5.8,0.5,5.7,0.6,0.9,44
Dewayne Dedmon 19 20,5.1,0.4,4.9,0.4,0.8,34
Dewayne Dedmon 19 20,8.1,0.7,8.2,1,1.5,10
Matthew Dellavedova 19 20,3.1,3.2,1.3,0.4,0,57
DeMar DeRozan 19 20,22.1,5.6,5.5,1,0.3,68
Cheick Diallo 19 20,4.7,0.5,2.8,0.2,0.3,47
Hamidou Diallo 19 20,6.9,0.8,3.6,0.8,0.2,46
Gorgui Dieng 19 20,7.4,1.2,5.6,0.8,0.9,63
Gorgui Dieng 19 20,7.4,1.3,5.6,0.8,0.9,46
Gorgui Dieng 19 20,7.2,0.9,5.8,0.8,1,17
Spencer Dinwiddie 19 20,20.6,6.8,3.5,0.6,0.3,64
Donte DiVincenzo 19 20,9.2,2.3,4.8,1.3,0.3,66
Luka Doncic 19 20,28.8,8.8,9.4,1,0.2,61
Luguentz Dort 19 20,6.8,0.8,2.3,0.9,0.1,36
Damyean Dotson 19 20,6.7,1.2,1.9,0.5,0.1,48
Sekou Doumbouya 19 20,6.4,0.5,3.1,0.5,0.2,38
PJ Dozier 19 20,5.8,2.2,1.9,0.5,0.2,29
Goran Dragić 19 20,16.2,5.1,3.2,0.7,0.2,59
Andre Drummond 19 20,17.7,2.7,15.2,1.9,1.6,57
Andre Drummond 19 20,17.8,2.8,15.8,2,1.7,49
Andre Drummond 19 20,17.5,1.8,11.1,1.5,1.4,8
Jared Dudley 19 20,1.5,0.6,1.2,0.3,0.1,45
Kris Dunn 19 20,7.3,3.4,3.6,2,0.3,51
Carsen Edwards 19 20,3.3,0.6,1.3,0.3,0.1,37
Henry Ellenson 19 20,0.4,0.2,1.2,0,0,5
Wayne Ellington 19 20,5.1,1.2,1.8,0.4,0.1,36
