Player,PPG,APG,RPG,SPG,BPG,G
Jordan McRae 19 20,11.5,2.5,3.4,0.6,0.4,37
Jordan McRae 19 20,12.8,2.8,3.6,0.7,0.5,29
Jordan McRae 19 20,2.3,1,1.3,0.5,0.3,4
Jordan McRae 19 20,11.8,1.8,3.8,0,0,4
Nicol√≤ Melli 19 20,6.6,1.4,3,0.6,0.4,60
De'Anthony Melton 19 20,7.6,2.9,3.7,1.3,0.3,60
Chimezie Metu 19 20,3.2,0.6,1.8,0.2,0.3,18
Khris Middleton 19 20,20.9,4.3,6.2,0.9,0.1,62
Eric Mika 19 20,6,0,7,0,0,1
C.J. Miles 19 20,6.4,1.2,1.2,1,0.4,10
Malcolm Miller 19 20,1.3,0.4,0.6,0.2,0.1,28
Patty Mills 19 20,11.6,1.8,1.6,0.8,0.1,66
Paul Millsap 19 20,11.6,1.6,5.7,0.9,0.6,51
Shake Milton 19 20,9.4,2.6,2.2,0.5,0.2,40
Donovan Mitchell 19 20,24,4.3,4.4,1,0.2,69
Naz Mitrou-Long 19 20,2.8,1.6,1.4,0.2,0.2,5
Adam Mokoka 19 20,2.9,0.4,0.9,0.4,0,11
Malik Monk 19 20,10.3,2.1,2.9,0.5,0.3,55
Matt Mooney 19 20,0.5,0.3,0.8,0.5,0.3,4
E'Twaun Moore 19 20,8.3,1.4,2.3,0.6,0.2,56
Ja Morant 19 20,17.8,7.3,3.9,0.9,0.3,67
Juwan Morgan 19 20,1.7,0.3,1.4,0,0.1,21
Marcus Morris 19 20,16.7,1.4,5,0.8,0.5,62
Marcus Morris 19 20,19.6,1.4,5.4,0.8,0.4,43
Marcus Morris 19 20,10.1,1.4,4.1,0.7,0.7,19
Markieff Morris 19 20,9.7,1.3,3.8,0.5,0.3,58
Markieff Morris 19 20,11,1.6,3.9,0.6,0.3,44
Markieff Morris 19 20,5.3,0.6,3.2,0.4,0.4,14
Monte Morris 19 20,9,3.5,1.9,0.8,0.2,73
Johnathan Motley 19 20,2.2,0.6,0.8,0.2,0,13
Emmanuel Mudiay 19 20,7.3,2.1,2.3,0.4,0.2,54
Mychal Mulder 19 20,11,1.1,3.3,0.3,0.1,7
Dejounte Murray 19 20,10.9,4.1,5.8,1.7,0.3,66
Jamal Murray 19 20,18.5,4.8,4,1.1,0.3,59
D≈æanan Musa 19 20,4.8,1.1,2.2,0.4,0,40
Mike Muscala 19 20,4.8,0.9,2.3,0.2,0.3,47
Sviatoslav Mykhailiuk 19 20,9,1.9,1.9,0.7,0.1,56
Abdel Nader 19 20,6.3,0.7,1.8,0.4,0.4,55
Larry Nance Jr. 19 20,10.1,2.2,7.3,1,0.4,56
Shabazz Napier 19 20,10.3,4.7,2.8,1.2,0.2,56
Shabazz Napier 19 20,9.6,5.2,3.1,1.1,0.2,36
Shabazz Napier 19 20,11.6,3.8,2.4,1.5,0.2,20
Raul Neto 19 20,5.1,1.8,1.1,0.4,0.1,54
Malik Newman 19 20,2,0,0,0,0,1
Georges Niang 19 20,5.9,0.7,1.9,0.3,0.1,66
Joakim Noah 19 20,2.8,1.4,3.2,0.2,0.2,5
Nerlens Noel 19 20,7.4,0.9,4.9,1,1.5,61
Zach Norvell 19 20,2,0.6,1.2,0.4,0,5
Zach Norvell 19 20,0,0,0.5,0,0,2
Zach Norvell 19 20,3.3,1,1.7,0.7,0,3
Jaylen Nowell 19 20,3.8,1.3,0.9,0.2,0.1,15
Frank Ntilikina 19 20,6.3,3,2.1,0.9,0.3,57
Kendrick Nunn 19 20,15.3,3.3,2.7,0.8,0.2,67
Jusuf Nurkiƒá 19 20,17.6,4,10.3,1.4,2,8
David Nwaba 19 20,5.2,0.4,2.3,0.6,0.6,20
Royce O'Neale 19 20,6.3,2.5,5.5,0.8,0.5,71
Kyle O'Quinn 19 20,3.5,1.8,4,0.2,0.8,29
Semi Ojeleye 19 20,3.4,0.5,2.1,0.3,0.1,69
Jahlil Okafor 19 20,8.1,1.2,4.2,0.2,0.7,30
Elie Okobo 19 20,4,2.1,1.6,0.4,0.1,55
Josh Okogie 19 20,8.6,1.6,4.3,1.1,0.4,62
KZ Okpala 19 20,1.4,0.2,1,0.4,0.2,5
Victor Oladipo 19 20,14.5,2.9,3.9,0.9,0.2,19
Kelly Olynyk 19 20,8.2,1.7,4.6,0.7,0.3,67
Miye Oni 19 20,3.5,0.4,1.7,0.4,0.2,10
Cedi Osman 19 20,11,2.4,3.6,0.8,0.2,65
Kelly Oubre Jr. 19 20,18.7,1.5,6.4,1.3,0.7,56
Tariq Owens 19 20,1.3,0,1,0.3,0,3
Jeremy Pargo 19 20,8.3,2.7,1,0.3,0,3
Jabari Parker 19 20,14,1.8,5.6,1.2,0.4,38
Jabari Parker 19 20,15,1.8,6,1.3,0.5,32
Jabari Parker 19 20,8.5,1.7,3.8,0.5,0.2,6
Chandler Parsons 19 20,2.8,0.6,1.4,0.8,0.2,5
Eric Paschall 19 20,14,2.1,4.6,0.5,0.2,60
An≈æejs Paseƒç≈Üiks 19 20,5.8,0.7,4,0.3,0.4,27
Patrick Patterson 19 20,4.9,0.7,2.6,0.1,0.1,59
Justin Patton 19 20,1.8,0.4,1,0,0,5
Chris Paul 19 20,17.6,6.7,5,1.6,0.2,70
Cameron Payne 19 20,10.9,3,3.9,1,0.3,8
Elfrid Payton 19 20,10,7.2,4.7,1.6,0.4,45
Gary Payton II 19 20,3.9,1.7,2.8,1.1,0.2,29
Norvel Pelle 19 20,2.4,0.3,3,0.1,1.3,24
Theo Pinson 19 20,3.6,1.7,1.6,0.5,0.1,33
Mason Plumlee 19 20,7.2,2.5,5.2,0.5,0.6,61
Jakob Poeltl 19 20,5.6,1.8,5.7,0.6,1.4,66
Vincent Poirier 19 20,1.9,0.4,2,0.1,0.4,22
Shamorie Ponds 19 20,2.3,0.5,0.3,0,0.3,4
Jordan Poole 19 20,8.8,2.4,2.1,0.6,0.2,57
Kevin Porter Jr. 19 20,10,2.2,3.2,0.9,0.3,50
Michael Porter Jr. 19 20,9.3,0.8,4.7,0.5,0.5,55
Otto Porter 19 20,11.9,1.8,3.4,1.1,0.4,14
Bobby Portis 19 20,10.1,1.5,5.1,0.5,0.3,66
Kristaps Porzi≈Üƒ£is 19 20,20.4,1.8,9.5,0.7,2,57
Dwight Powell 19 20,9.4,1.5,5.7,0.9,0.6,40
Norman Powell 19 20,16,1.8,3.7,1.2,0.4,52
Chasson Randle 19 20,1.7,1.7,0.7,0.7,0,3
Julius Randle 19 20,19.5,3.1,9.7,0.8,0.3,64
Josh Reaves 19 20,2,0.8,0.8,0,0,4
Cam Reddish 19 20,10.5,1.5,3.7,1.1,0.5,58
J.J. Redick 19 20,15.3,2,2.5,0.3,0.2,60
Naz Reid 19 20,9,1.2,4.1,0.6,0.7,30
Josh Richardson 19 20,13.7,2.9,3.2,0.9,0.7,55
Austin Rivers 19 20,8.8,1.7,2.6,0.7,0.1,68
Andre Roberson 19 20,2.9,0.6,3.9,0.1,0.4,7
Duncan Robinson 19 20,13.5,1.4,3.2,0.5,0.3,73
Glenn Robinson III 19 20,11.7,1.5,4.4,0.9,0.3,62
Glenn Robinson III 19 20,12.9,1.8,4.7,0.9,0.3,48
Glenn Robinson III 19 20,7.7,0.8,3.1,0.6,0.1,14
Jerome Robinson 19 20,5.1,1.4,2,0.4,0.3,63
Jerome Robinson 19 20,2.9,1.1,1.4,0.3,0.2,42
Jerome Robinson 19 20,9.4,2,3.3,0.7,0.4,21
Justin Robinson 19 20,1.4,0.8,0.6,0,0.1,9
Mitchell Robinson 19 20,9.7,0.6,7,0.9,2,61
Isaiah Roby 19 20,0,0,0.7,0,0,3
Rajon Rondo 19 20,7.1,5,3,0.8,0,48
Derrick Rose 19 20,18.1,5.6,2.4,0.8,0.3,50
Terrence Ross 19 20,14.7,1.2,3.2,1.1,0.3,69
Terry Rozier 19 20,18,4.1,4.4,1,0.2,63
Ricky Rubio 19 20,13,8.8,4.7,1.4,0.2,65
D'Angelo Russell 19 20,23.1,6.3,3.9,1.1,0.3,45
D'Angelo Russell 19 20,23.6,6.2,3.7,0.9,0.3,33
D'Angelo Russell 19 20,21.7,6.6,4.6,1.4,0.3,12
Domantas Sabonis 19 20,18.5,5,12.4,0.8,0.5,62
Luka ≈†amaniƒá 19 20,5.3,2,3.3,0,0.7,3
JaKarr Sampson 19 20,4.6,0.6,2.6,0.5,0.4,34
Dario ≈†ariƒá 19 20,10.7,1.9,6.2,0.6,0.2,66
Tom√°≈° Satoransk√Ω 19 20,9.9,5.4,3.9,1.2,0.1,65
Admiral Schofield 19 20,3,0.5,1.4,0.2,0.1,33
Dennis Schr√∂der 19 20,18.9,4,3.6,0.7,0.2,65
Mike Scott 19 20,6,0.8,3.6,0.3,0.1,68
Thabo Sefolosha 19 20,2.2,0.6,2.3,0.6,0.3,41
Collin Sexton 19 20,20.8,3,3.1,1,0.1,65
Landry Shamet 19 20,9.3,1.9,1.9,0.4,0.2,53
Marial Shayok 19 20,2.8,0.3,1.8,0,0.3,4
Iman Shumpert 19 20,4.2,0.9,2.6,0.9,0.2,13
Pascal Siakam 19 20,22.9,3.5,7.3,1,0.9,60
Chris Silva 19 20,3,0.5,2.9,0.2,0.5,44
Ben Simmons 19 20,16.4,8,7.8,2.1,0.6,57
Anfernee Simons 19 20,8.3,1.4,2.2,0.4,0.1,70
Alen Smailagiƒá 19 20,4.2,0.9,1.9,0.2,0.3,14
Marcus Smart 19 20,12.9,4.9,3.8,1.7,0.5,60
Dennis Smith Jr. 19 20,5.5,2.9,2.3,0.8,0.2,34
Ish Smith 19 20,10.9,4.9,3.2,0.9,0.4,68
J.R. Smith 19 20,2.8,0.5,0.8,0.2,0,6
Zhaire Smith 19 20,1.1,0.3,0.3,0.4,0,7
Tony Snell 19 20,8,2.2,1.9,0.5,0.3,59
Omari Spellman 19 20,7.6,1,4.5,0.7,0.5,49
Max Strus 19 20,2.5,0,0.5,0,0,2
Edmond Sumner 19 20,4.9,1.8,1.5,0.5,0.3,31
Caleb Swanigan 19 20,2.4,1.1,3.7,0.1,0.3,27
Caleb Swanigan 19 20,0.7,0.3,1,0.1,0.3,7
Caleb Swanigan 19 20,3,1.5,4.7,0.1,0.3,20
Jayson Tatum 19 20,23.4,3,7,1.4,0.9,66
Jeff Teague 19 20,10.9,5.2,2.4,0.7,0.3,59
Jeff Teague 19 20,13.2,6.1,2.6,0.7,0.4,34
Jeff Teague 19 20,7.7,4,2.2,0.8,0.2,25
Garrett Temple 19 20,10.3,2.5,3.5,0.8,0.5,62
Daniel Theis 19 20,9.2,1.7,6.6,0.6,1.3,65
Isaiah Thomas 19 20,12.2,3.7,1.7,0.3,0.2,40
Khyri Thomas 19 20,2.1,0.4,0.1,0.4,0,8
Lance Thomas 19 20,3.4,0.9,1.9,0,0,7
Matt Thomas 19 20,4.9,0.5,1.5,0.2,0,41
Tristan Thompson 19 20,12,2.1,10.1,0.6,0.9,57
Sindarius Thornwell 19 20,8,2,2,0.5,0.5,2
Matisse Thybulle 19 20,4.7,1.2,1.6,1.4,0.7,65
Anthony Tolliver 19 20,3.6,0.8,2.8,0.3,0.2,55
Anthony Tolliver 19 20,3.9,0.9,3.3,0.2,0.3,33
Anthony Tolliver 19 20,1,0.3,1.2,0.4,0.1,9
Anthony Tolliver 19 20,4.8,0.8,2.5,0.5,0.1,13
Juan Toscano-Anderson 19 20,5.3,2,4,1,0.4,13
Karl-Anthony Towns 19 20,26.5,4.4,10.8,0.9,1.2,35
Gary Trent Jr. 19 20,8.9,1,1.6,0.8,0.3,61
Allonzo Trier 19 20,6.5,1.2,1.2,0.1,0.2,24
P.J. Tucker 19 20,6.9,1.6,6.6,1.1,0.5,72
Rayjon Tucker 19 20,3.1,0.3,1,0.1,0.1,20
Evan Turner 19 20,3.3,2,2,0.5,0.4,19
Myles Turner 19 20,12.1,1.2,6.6,0.7,2.1,62
Jarrod Uthoff 19 20,2.7,0,0.9,0.1,0,7
Jarrod Uthoff 19 20,1,0,0.3,0.3,0,4
Jarrod Uthoff 19 20,5,0,1.7,0,0,3
Jonas Valanƒçi≈´nas 19 20,14.9,1.9,11.3,0.4,1.1,70
Denzel Valentine 19 20,6.8,1.2,2.1,0.7,0.2,36
Jarred Vanderbilt 19 20,1.1,0.2,0.8,0.3,0.1,11
Jarred Vanderbilt 19 20,1.1,0.2,0.9,0.3,0.1,9
Jarred Vanderbilt 19 20,1,0,0.5,0,0,2
Fred VanVleet 19 20,17.6,6.6,3.8,1.9,0.3,54
Gabe Vincent 19 20,2.4,0.7,0.6,0.6,0,9
Noah Vonleh 19 20,3.7,0.8,3.4,0.3,0.2,36
Noah Vonleh 19 20,4.1,0.9,4,0.4,0.2,29
Noah Vonleh 19 20,1.9,0.3,1.1,0,0,7
Nikola Vuƒçeviƒá 19 20,19.6,3.6,10.9,0.9,0.8,62
Dean Wade 19 20,1.7,0.2,1.6,0.2,0.3,12
Moritz Wagner 19 20,8.7,1.2,4.9,0.6,0.4,45
Dion Waiters 19 20,11.1,2,2.4,0.4,0.6,10
Dion Waiters 19 20,9.3,1,3.7,0,0.7,3
Dion Waiters 19 20,11.9,2.4,1.9,0.6,0.6,7
Kemba Walker 19 20,20.4,4.8,3.9,0.9,0.5,56
Lonnie Walker 19 20,6.4,1.1,2.3,0.5,0.2,61
Tyrone Wallace 19 20,2.9,0.9,1.6,0.5,0.1,14
Taurean Prince 19 20,12.1,1.8,6,0.9,0.4,64
Derrick Walton 19 20,2,1,0.6,0.3,0,26
Derrick Walton 19 20,2.2,1,0.7,0.2,0,23
Derrick Walton 19 20,1,1.7,0.3,1,0,3
Brad Wanamaker 19 20,6.9,2.5,2,0.9,0.2,71
T.J. Warren 19 20,19.8,1.5,4.2,1.2,0.5,67
P.J. Washington 19 20,12.2,2.1,5.4,0.9,0.8,58
Yuta Watanabe 19 20,2,0.3,1.1,0.3,0.1,18
Tremont Waters 19 20,3.6,1.5,1.1,0.9,0.2,11
Paul Watson 19 20,3.1,0.8,1.7,0.4,0.1,10
Paul Watson 19 20,0,1.5,1,0.5,0,2
Paul Watson 19 20,3.9,0.6,1.9,0.4,0.1,8
Quinndary Weatherspoon 19 20,1.1,1,0.6,0.3,0.1,11
Russell Westbrook 19 20,27.2,7,7.9,1.6,0.4,57
Coby White 19 20,13.2,2.7,3.5,0.8,0.1,65
Derrick White 19 20,11.3,3.5,3.3,0.6,0.9,68
Hassan Whiteside 19 20,15.5,1.2,13.5,0.4,2.9,67
Andrew Wiggins 19 20,21.8,3.7,5.1,0.8,1,54
Andrew Wiggins 19 20,22.4,3.7,5.2,0.7,0.9,42
Andrew Wiggins 19 20,19.4,3.6,4.6,1.3,1.4,12
Grant Williams 19 20,3.4,1,2.6,0.4,0.5,69
Johnathan Williams 19 20,3,0.5,4.3,0.1,0.5,15
Kenrich Williams 19 20,3.5,1.5,4.8,0.7,0.5,39
Lou Williams 19 20,18.2,5.6,3.1,0.7,0.2,65
Marvin Williams 19 20,5.9,1,3.2,0.6,0.5,58
Marvin Williams 19 20,6.7,1,2.7,0.6,0.5,41
Marvin Williams 19 20,4,1.1,4.4,0.6,0.5,17
Robert Williams 19 20,5.2,0.9,4.4,0.8,1.2,29
Nigel Williams-Goss 19 20,1.4,0.6,0.6,0.3,0.1,10
Zion Williamson 19 20,22.5,2.1,6.3,0.7,0.4,24
D.J. Wilson 19 20,3.6,0.7,2.5,0.1,0.1,37
Justise Winslow 19 20,11.3,4,6.6,0.6,0.5,11
Christian Wood 19 20,13.1,1,6.3,0.5,0.9,62
Delon Wright 19 20,6.9,3.3,3.8,1.2,0.3,73
Justin Wright-Foreman 19 20,4.8,1.8,1.3,0.5,0,4
Thaddeus Young 19 20,10.3,1.8,4.9,1.4,0.4,64
Trae Young 19 20,29.6,9.3,4.3,1.1,0.1,60
Cody Zeller 19 20,11.1,1.5,7.1,0.7,0.4,58
Tyler Zeller 19 20,1,0,2,0,0,2
Ante ≈Ωi≈æiƒá 19 20,4.4,0.3,3,0.3,0.2,22
Ivica Zubac 19 20,8.3,1.1,7.5,0.2,0.9,72
Precious Achiuwa 20 21,6.5,0.6,4,0.4,0.5,28
Jaylen Adams 20 21,0.3,0.3,0.5,0,0,6
Steven Adams 20 21,8,2.1,8.9,1,0.6,27
Bam Adebayo 20 21,19.9,5.3,9.2,1,1,26
LaMarcus Aldridge 20 21,14.1,1.9,4.3,0.4,0.9,18
Ty-Shon Alexander 20 21,0,0.3,0.3,0,0,3
Nickeil Alexander-Walker 20 21,8.8,2,2.7,1.1,0.3,23
Grayson Allen 20 21,10.4,2.1,2.9,1,0.2,19
Jarrett Allen 20 21,12.3,1.6,9,0.5,1.6,28
Jarrett Allen 20 21,11.2,1.7,10.4,0.6,1.6,12
Jarrett Allen 20 21,13.2,1.6,7.9,0.4,1.7,16
Al-Farouq Aminu 20 21,1.5,1,2,0,0,2
Kyle Anderson 20 21,13.8,3.8,6.3,1.1,0.8,24
Giannis Antetokounmpo 20 21,28.2,5.8,11.4,1.3,1.3,27
Kostas Antetokounmpo 20 21,0,0,4,0,2,1
Thanasis Antetokounmpo 20 21,2.2,0.8,1.7,0.3,0.2,18
Carmelo Anthony 20 21,13.3,1.3,3.5,0.8,0.8,27
Cole Anthony 20 21,11,3.8,4.4,0.7,0.4,25
OG Anunoby 20 21,14.6,1.6,5.9,2,0.6,18
Ryan Arcidiacono 20 21,2.5,1.5,2,0.3,0,11
D.J. Augustin 20 21,5.9,3,1.2,0.5,0,27
Deni Avdija 20 21,6.8,1.6,4.9,0.8,0.2,22
Deandre Ayton 20 21,13.9,1.8,12.2,0.3,1,27
Udoka Azubuike 20 21,1,0,1.1,0.1,0.3,12
Dwayne Bacon 20 21,10.7,1,3.1,0.8,0.1,29
Marvin Bagley III 20 21,12.8,0.9,7.4,0.5,0.5,25
LaMelo Ball 20 21,14.6,6.1,6.2,1.5,0.4,28
Lonzo Ball 20 21,14,4.7,4.3,1.2,0.5,25
Mo Bamba 20 21,4.8,0.3,3.8,0.2,0.8,13
Desmond Bane 20 21,10.3,1.6,2.7,0.7,0.2,20
Harrison Barnes 20 21,15.8,3.4,6.2,0.8,0.2,27
RJ Barrett 20 21,16.5,3.1,6.2,0.7,0.2,30
Will Barton 20 21,11.6,3.2,3.7,0.8,0.4,25
Keita Bates-Diop 20 21,0.6,0.3,0.4,0.1,0,8
Nicolas Batum 20 21,9.7,2.3,4.9,1.4,0.4,27
Aron Baynes 20 21,5.6,1,5.4,0.3,0.3,25
Kent Bazemore 20 21,7,1.6,3.1,0.8,0.6,27
Darius Bazley 20 21,12.2,1.8,7.4,0.5,0.7,28
Bradley Beal 20 21,32.8,4.7,5.2,1.3,0.5,24
Malik Beasley 20 21,20.9,2.5,4.9,0.9,0.2,29
Jordan Bell 20 21,3.3,1.7,5.3,0.3,1,3
DeAndre' Bembry 20 21,4.2,1.6,1.6,0.6,0.3,19
Dāvis Bertāns 20 21,11.5,1,3.1,0.7,0.3,23
Patrick Beverley 20 21,8.3,2.2,4.2,1,0.8,20
Saddiq Bey 20 21,9.2,1,3.7,0.5,0,26
Tyler Bey 20 21,1.5,0,0.8,0,0.3,4
Khem Birch 20 21,6.7,1.2,6,0.7,0.7,29
Goga Bitadze 20 21,4.2,0.2,2.2,0.2,1.1,13
Bismack Biyombo 20 21,6.1,1.3,5.8,0.2,1.2,26
Nemanja Bjelica 20 21,6.9,2.2,3.8,0,0.2,13
Eric Bledsoe 20 21,12.7,3.7,3.6,0.7,0.3,27
Keljin Blevins 20 21,0.3,0.5,0,0.3,0,8
Bogdan Bogdanović 20 21,9.9,2.1,3.8,0.4,0.1,9
Bojan Bogdanović 20 21,15.2,2.1,4,0.4,0,29
Bol Bol 20 21,1.4,0.2,0.8,0.1,0.3,12
Marques Bolden 20 21,1.2,0,1,0.3,0.3,6
Jordan Bone 20 21,4,1.3,1.7,0.1,0,14
Isaac Bonga 20 21,2.3,0.5,2.2,0.2,0.2,17
Devin Booker 20 21,24.4,4.4,3.7,0.9,0.3,23
Chris Boucher 20 21,13.6,1,6.8,0.5,2.1,28
Brian Bowen 20 21,3,0,1,0,0,1
Avery Bradley 20 21,8.5,1.4,1.8,0.7,0.1,10
Tony Bradley 20 21,4.1,0.6,5,0.3,0.6,10
Jarrell Brantley 20 21,1.1,0,0.5,0.1,0.1,8
Ignas Brazdeikis 20 21,0.5,0.3,0.5,0,0,4
Mikal Bridges 20 21,14.1,2.1,5.3,0.6,1,27
Miles Bridges 20 21,9.9,1.9,5.8,0.7,0.8,28
Malcolm Brogdon 20 21,21.6,6.6,4.8,1.3,0.3,29
Dillon Brooks 20 21,15.8,2.6,3.3,1.3,0.4,24
Bruce Brown 20 21,6.4,1,4.4,0.7,0.4,26
Jaylen Brown 20 21,25.9,3.6,5.5,1.2,0.6,26
Moses Brown 20 21,3,0.4,2.1,0.1,0.6,7
Sterling Brown 20 21,7.5,1.8,3.9,1,0.3,26
Troy Brown Jr. 20 21,4.8,1,3.5,0.2,0.2,13
Jalen Brunson 20 21,11.7,3.6,3.2,0.4,0,24
Thomas Bryant 20 21,14.3,1.5,6.1,0.4,0.8,10
Reggie Bullock 20 21,8.5,1.4,3.5,0.7,0.2,25
Trey Burke 20 21,8,1.6,1.1,0.8,0.1,27
Alec Burks 20 21,11.1,2.1,4.6,0.8,0.3,18
Jimmy Butler 20 21,19.4,7.4,7.7,1.9,0.4,16
Bruno Caboclo 20 21,2.8,0.2,2.3,0,0.3,6
Devontae Cacok 20 21,2,0,0,0,0,1
Kentavious Caldwell-Pope 20 21,8.5,1.3,2.2,0.8,0.3,25
Facundo Campazzo 20 21,4.9,1.9,0.8,0.9,0.2,25
Vlatko Čančar 20 21,0.6,0.1,0.9,0.3,0.2,13
Clint Capela 20 21,14.3,1,14,0.8,2.2,25
Vernon Carey Jr. 20 21,1,0.3,1,0,0.3,3
Jevon Carter 20 21,2.9,1.1,1.4,0.4,0.3,23
Wendell Carter Jr. 20 21,13,2.2,7.8,0.7,0.7,16
Michael Carter-Williams 20 21,7.7,3,4.7,0.5,0.4,10
Alex Caruso 20 21,5.5,2.3,2.4,1,0.2,22
Willie Cauley-Stein 20 21,5.9,0.8,4.6,0.3,0.7,26
Chris Chiozza 20 21,3.2,2.3,0.9,0.3,0.3,12
Marquese Chriss 20 21,6.5,1,6.5,0,1,2
Gary Clark 20 21,3.4,0.9,3.6,0.3,0.2,26
Brandon Clarke 20 21,13,1.8,5.6,1.2,0.8,20
Jordan Clarkson 20 21,18.2,2.1,4.1,1,0.2,29
Amir Coffey 20 21,2.9,0.4,0.8,0.2,0,19
John Collins 20 21,18.2,1.6,7.6,0.5,1,28
Mike Conley 20 21,16.5,5.8,3.7,1.4,0.1,23
Pat Connaughton 20 21,6,1.4,3.8,0.7,0.5,25
Quinn Cook 20 21,1.7,0.3,0.3,0.1,0,15
DeMarcus Cousins 20 21,9.6,2.4,7.6,0.8,0.7,25
Robert Covington 20 21,7.6,1.8,6.2,1.6,0.9,26
Torrey Craig 20 21,2.9,0.8,2.6,0.5,0.3,15
Jae Crowder 20 21,10.3,2.2,5.2,0.9,0.2,24
Jarrett Culver 20 21,8.1,0.9,5,0.7,0.4,16
Seth Curry 20 21,13.1,2.7,1.9,0.8,0.3,22
Stephen Curry 20 21,30,6,5.3,1.2,0.1,29
Anthony Davis 20 21,22.5,3,8.4,1.3,1.8,23
Ed Davis 20 21,2.3,1,5.1,0.5,0.5,19
Terence Davis 20 21,6.8,0.9,1.6,0.5,0.1,22
DeMar DeRozan 20 21,19.8,6.9,5,0.8,0.3,25
Hamidou Diallo 20 21,12.5,2.5,5.4,1,0.4,28
Gorgui Dieng 20 21,7.7,1.4,4.8,0.8,0.7,19
Spencer Dinwiddie 20 21,6.7,3,4.3,0.7,0.3,3
Donte DiVincenzo 20 21,9.9,2.8,4.5,1.2,0.2,28
Luka Doncic 20 21,29.1,9.4,8.6,1,0.7,27
Luguentz Dort 20 21,12.5,1.4,3.5,0.9,0.3,27
Damyean Dotson 20 21,7.8,2.2,1.8,0.5,0.1,24
Devon Dotson 20 21,4,0,1,0,0,1
Sekou Doumbouya 20 21,4.1,0.6,2.4,0.4,0.1,24
PJ Dozier 20 21,7.1,1.4,4.1,0.5,0.6,17
Goran Dragić 20 21,14.4,5.3,3.1,0.5,0.1,17
Andre Drummond 20 21,17.5,2.6,13.5,1.6,1.2,25
Jared Dudley 20 21,0.5,0.2,1,0,0,6
Kevin Durant 20 21,29,5.3,7.3,0.7,1.4,19
Anthony Edwards 20 21,14.6,2.4,3.7,0.7,0.3,29
Carsen Edwards 20 21,5,0.4,1,0.3,0.1,13
CJ Elleby 20 21,3.3,0.3,1,0.3,0.3,12
Wayne Ellington 20 21,10.6,1.1,2,0.4,0.2,21
Joel Embiid 20 21,29.7,3.1,10.8,1.3,1.2,23
James Ennis 20 21,7.3,1.4,3.8,1,0.3,20
Drew Eubanks 20 21,4,0.4,3.4,0.1,1.4,11
Dante Exum 20 21,3.8,2.2,2.8,0.7,0.3,6
Tacko Fall 20 21,3.2,0,3.5,0,1.3,6
Derrick Favors 20 21,6.3,0.9,5.6,0.6,1.1,27
Cristiano Felício 20 21,1.8,0.8,2,0.3,0,6
Terrance Ferguson 20 21,0,0.3,0.1,0,0,7
Bruno Fernando 20 21,1.8,0.6,3.5,0.1,0.1,15
Yogi Ferrell 20 21,9.5,2.5,3.5,1.5,0.5,2
Dorian Finney-Smith 20 21,9.1,1.2,4.8,1,0.4,19
Malachi Flynn 20 21,2.2,1.2,0.7,0.3,0,13
Bryn Forbes 20 21,9.5,0.5,1.1,0.3,0,28
Trent Forrest 20 21,0.5,0.3,0.3,0.5,0,4
Evan Fournier 20 21,17.9,3.6,2.5,1,0.4,15
De'Aaron Fox 20 21,23.2,6.8,3.3,1.2,0.5,26
Tim Frazier 20 21,1.3,2.3,1.3,0.3,0,3
Markelle Fultz 20 21,12.9,5.4,3.1,1,0.3,8
Wenyen Gabriel 20 21,0,0.3,1.3,0,0,3
Daniel Gafford 20 21,5.3,0.7,3.3,0.5,1.3,23
Danilo Gallinari 20 21,10.7,1.1,2.9,0.2,0.1,16
Langston Galloway 20 21,4.7,0.7,1.1,0.2,0,22
Darius Garland 20 21,15.9,5.3,2.2,1,0.1,21
Marc Gasol 20 21,4.2,1.8,4.2,0.4,1.2,29
Rudy Gay 20 21,11.2,1.5,5.2,0.7,0.5,26
Paul George 20 21,24.4,5.5,6.2,1.2,0.5,20
Taj Gibson 20 21,3,0.5,3.1,0.3,0.4,8
Harry Giles 20 21,3.1,0.9,4.9,0.2,0.4,22
Shai Gilgeous-Alexander 20 21,22.5,6.5,5.4,0.8,0.6,22
Anthony Gill 20 21,1,0.3,1.9,0.3,0.2,10
Rudy Gobert 20 21,14.2,1.3,13.4,0.4,2.7,29
Brandon Goodwin 20 21,4.4,2,1.2,0.5,0,22
Aaron Gordon 20 21,13.8,4.2,7.2,0.7,0.8,19
Eric Gordon 20 21,18.7,2.7,2.2,0.5,0.5,22
Devonte' Graham 20 21,13.7,5.7,3,1,0,25
Jerami Grant 20 21,23.8,2.9,5.3,0.8,1.2,28
Danny Green 20 21,8.7,1.7,3.7,1.1,0.7,29
Draymond Green 20 21,5.2,8.3,5.6,1.4,0.6,24
JaMychal Green 20 21,9.4,1,6.3,0.6,0.3,24
Javonte Green 20 21,4.9,0.4,2.5,0.9,0.1,18
Jeff Green 20 21,9.7,1.4,3.7,0.7,0.3,30
Josh Green 20 21,2.5,0.6,2.3,0.2,0.1,17
Blake Griffin 20 21,12.3,3.9,5.2,0.7,0.1,20
Kyle Guy 20 21,2.9,1.3,1.2,0.4,0,10
Rui Hachimura 20 21,13.2,2,5.4,0.6,0.1,19
Ashton Hagans 20 21,0,0,0,0,0,2
